  120  1.0000E+00
   i   x             den           ener          pres          vel           cs
   86  1.068750E+00  2.571698E+00  3.441356E-01  3.540050E-01  5.587446E-01  4.389942E-01
   87  1.081250E+00  2.726375E+00  3.336498E-01  3.638618E-01  5.677071E-01  4.322544E-01
   88  1.093750E+00  2.893426E+00  3.235416E-01  3.744575E-01  5.767915E-01  4.256563E-01
   89  1.106250E+00  3.074165E+00  3.137892E-01  3.858559E-01  5.859983E-01  4.191920E-01
   90  1.118750E+00  3.270074E+00  3.043719E-01  3.981274E-01  5.953277E-01  4.128538E-01
   91  1.131250E+00  3.482825E+00  2.952702E-01  4.113498E-01  6.047796E-01  4.066341E-01
   92  1.143750E+00  3.714315E+00  2.864656E-01  4.256095E-01  6.143533E-01  4.005256E-01
   93  1.156250E+00  3.966696E+00  2.779406E-01  4.410023E-01  6.240481E-01  3.945209E-01
   94  1.168750E+00  4.242414E+00  2.696784E-01  4.576350E-01  6.338626E-01  3.886128E-01
   95  1.181250E+00  4.544264E+00  2.616633E-01  4.756268E-01  6.437953E-01  3.827942E-01
   96  1.193750E+00  4.875441E+00  2.538801E-01  4.951109E-01  6.538443E-01  3.770581E-01
   97  1.206250E+00  5.239610E+00  2.463145E-01  5.162368E-01  6.640072E-01  3.713975E-01
   98  1.218750E+00  5.640991E+00  2.389529E-01  5.391725E-01  6.742815E-01  3.658055E-01
   99  1.231250E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  100  1.243750E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  101  1.256250E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  102  1.268750E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  103  1.281250E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  104  1.293750E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  105  1.306250E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  106  1.318750E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  107  1.331250E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  108  1.343750E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  109  1.356250E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  110  1.368750E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  111  1.381250E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  112  1.393750E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  113  1.406250E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  114  1.418750E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  115  1.431250E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  116  1.443750E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  117  1.456250E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  118  1.468750E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  119  1.481250E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  120  1.493750E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
